so_number,item_code,dispatch_date,qty_issued,surat_jalan_no,_REKONSILIASI
SO-MG260314,MG-2604-BH0114,2026-08-21,116.0,IMP-2026-SO-MG260314-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260315,MG-2604-BH0114,2026-08-21,129.0,IMP-2026-SO-MG260315-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260316,MG-2604-BH0114,2026-08-21,129.0,IMP-2026-SO-MG260316-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260317,MG-2604-BH0114,2026-08-21,151.0,IMP-2026-SO-MG260317-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260318,MG-2604-BH0114,2026-08-21,123.0,IMP-2026-SO-MG260318-MG-2604-BH0114,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260297,MG-2604-BH0115,2026-08-22,129.0,IMP-2026-SO-MG260297-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260298,MG-2604-BH0115,2026-08-22,102.0,IMP-2026-SO-MG260298-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260299,MG-2604-BH0115,2026-08-22,90.0,IMP-2026-SO-MG260299-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260300,MG-2604-BH0115,2026-08-22,133.0,IMP-2026-SO-MG260300-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260301,MG-2604-BH0115,2026-08-22,130.0,IMP-2026-SO-MG260301-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260302,MG-2604-BH0115,2026-08-22,126.0,IMP-2026-SO-MG260302-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260303,MG-2604-BH0115,2026-08-22,124.0,IMP-2026-SO-MG260303-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260304,MG-2604-BH0115,2026-08-22,126.0,IMP-2026-SO-MG260304-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260305,MG-2604-BH0115,2026-08-22,118.0,IMP-2026-SO-MG260305-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260306,MG-2604-BH0115,2026-08-22,78.5,IMP-2026-SO-MG260306-MG-2604-BH0115,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260257,MG-2604-BH0117,2026-08-22,308.1,IMP-2026-SO-MG260257-MG-2604-BH0117,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260006,MG-2604-BH0032,2026-08-22,66.0,IMP-2026-SO-MG260006-MG-2604-BH0032,OK - baris IMP-2026 di prod = Excel bersih
